estacion,fecha,fecha_diff,precipitacion,temperatura,humedad_relativa,vientos,vi
Camiri,2026-09-07 11:00:00,51,0.0,31,26,40,3.0
Camiri,2026-09-07 11:00:00,54,0.0,31,26,321,2.3
Camiri,2026-09-07 11:00:00,57,0.0,25,36,229,1.6
Camiri,2026-09-07 11:00:00,60,0.0,18,35,249,1.5
Camiri,2026-09-07 11:00:00,63,0.0,16,56,267,1.4
Camiri,2026-09-07 11:00:00,66,0.0,16,56,230,0.8
Camiri,2026-09-07 11:00:00,69,0.0,21,56,272,0.7
Camiri,2026-09-07 11:00:00,72,0.0,26,55,333,2.5
Camiri,2026-09-07 11:00:00,75,0.0,29,56,30,4.3
Camiri,2026-09-07 11:00:00,78,0.0,29,57,332,2.9
Camiri,2026-09-07 11:00:00,81,0.0,22,55,217,1.5
Camiri,2026-09-07 11:00:00,84,0.0,16,56,237,1.4
Camiri,2026-09-07 11:00:00,87,0.0,16,26,247,1.2
Camiri,2026-09-07 11:00:00,90,0.0,21,26,300,1.4
Camiri,2026-09-07 11:00:00,93,0.0,23,26,300,1.5
Camiri,2026-09-07 11:00:00,96,0.0,32,26,7,1.8
Camiri,2026-09-07 11:00:00,99,0.0,40,37,64,2.1
Camiri,2026-09-07 11:00:00,102,0.0,32,37,127,3.5
Camiri,2026-09-07 11:00:00,105,0.0,25,56,180,5.0
Camiri,2026-09-07 11:00:00,108,0.0,22,57,180,4.2
Camiri,2026-09-07 11:00:00,111,0.0,20,26,170,3.3
Campanario,2026-09-07 11:00:00,3,0.0,17,26,324,6.3
Campanario,2026-09-07 11:00:00,6,0.0,17,26,14,4.2
Campanario,2026-09-07 11:00:00,9,0.0,11,26,54,2.1
Campanario,2026-09-07 11:00:00,12,0.0,6,26,66,2.1
Campanario,2026-09-07 11:00:00,15,0.0,1,36,228,2.1
Campanario,2026-09-07 11:00:00,18,0.0,1,36,258,2.4
Campanario,2026-09-07 11:00:00,21,0.0,6,36,254,2.9
Campanario,2026-09-07 11:00:00,24,0.0,10,36,280,6.4
Campanario,2026-09-07 11:00:00,27,0.0,18,36,300,10.0
Campanario,2026-09-07 11:00:00,30,0.0,18,36,5,6.8
Campanario,2026-09-07 11:00:00,33,0.0,11,36,65,3.6
Campanario,2026-09-07 11:00:00,36,0.0,7,36,354,2.6
Campanario,2026-09-07 11:00:00,39,0.0,0,36,276,1.6
Campanario,2026-09-07 11:00:00,42,0.0,0,26,268,2.3
Campanario,2026-09-07 11:00:00,45,0.0,7,26,256,3.2
Campanario,2026-09-07 11:00:00,48,0.0,11,26,273,7.1
Campanario,2026-09-07 11:00:00,51,0.0,17,26,283,11.1
Campanario,2026-09-07 11:00:00,54,0.0,17,26,355,6.6
Campanario,2026-09-07 11:00:00,57,0.0,9,26,66,2.0
Campanario,2026-09-07 11:00:00,60,0.0,4,26,70,1.6
Campanario,2026-09-07 11:00:00,63,0.0,1,56,68,1.1
Campanario,2026-09-07 11:00:00,66,0.0,1,56,330,2.6
Campanario,2026-09-07 11:00:00,69,0.0,9,57,290,3.7
Campanario,2026-09-07 11:00:00,72,0.0,14,56,300,8.1
Campanario,2026-09-07 11:00:00,75,0.0,16,56,300,12.5
Campanario,2026-09-07 11:00:00,78,0.0,16,56,300,9.2
Campanario,2026-09-07 11:00:00,81,0.0,12,36,293,5.9
Campanario,2026-09-07 11:00:00,84,0.0,1,36,304,4.2
Campanario,2026-09-07 11:00:00,87,0.0,1,26,310,2.5
Campanario,2026-09-07 11:00:00,90,0.0,7,26,280,4.3
Campanario,2026-09-07 11:00:00,93,0.0,8,26,270,4.6
Campanario,2026-09-07 11:00:00,96,0.0,13,26,280,7.7
Campanario,2026-09-07 11:00:00,99,0.0,19,26,290,10.8
Campanario,2026-09-07 11:00:00,102,0.0,14,25,6,7.0
Campanario,2026-09-07 11:00:00,105,0.0,8,36,79,3.1
Campanario,2026-09-07 11:00:00,108,0.0,7,36,63,2.9
Campanario,2026-09-07 11:00:00,111,0.0,5,26,43,2.6
